antecedent_symbol,interval_label,count
AAPL,cruce,1.0
DIA,cruce,2.0
GOOGL,cruce,1.0
HYG,cruce,1.0
MSFT,cruce,2.0
MU,cruce,2.0
UUP,cruce,1.0
XLE,cruce,1.0
XLK,cruce,2.0
AAPL,negativo,1.0
DIA,negativo,1.0
EEM,negativo,1.0
GOOGL,negativo,1.0
IWM,negativo,1.0
MSFT,negativo,1.0
TLT,negativo,1.0
XLF,negativo,1.0
XLK,negativo,1.0
AAPL,positivo,1.0
DIA,positivo,2.0
GOOGL,positivo,1.0
HYG,positivo,1.0
MSFT,positivo,2.0
MU,positivo,2.0
UUP,positivo,1.0
XLE,positivo,1.0
XLK,positivo,2.0
