antecedent_symbol,interval_label,count
AMZN,cruce,1.0
CPB,cruce,1.0
DIS,cruce,1.0
EFX,cruce,1.0
GOOGL,cruce,1.0
HYG,cruce,1.0
INTC,cruce,1.0
IWM,cruce,1.0
IYR,cruce,2.0
JPM,cruce,1.9999999999999998
NVDA,cruce,1.0
QQQ,cruce,1.0
SAP,cruce,3.0000000000000004
SPY,cruce,3.0
TLT,cruce,1.0
XLE,cruce,1.0
XLK,cruce,1.0
XLV,cruce,1.0
AMZN,negativo,1.0
CPB,negativo,1.0
DIS,negativo,1.0
EFX,negativo,1.0
HYG,negativo,1.0
INTC,negativo,1.0
IWM,negativo,1.0
JPM,negativo,1.9999999999999998
NVDA,negativo,1.0
QQQ,negativo,1.0
SAP,negativo,1.9999999999999998
SPY,negativo,3.0
TLT,negativo,1.0
XLE,negativo,1.0
XLK,negativo,1.0
AMZN,positivo,1.0
CPB,positivo,1.0
DIS,positivo,1.0
EFX,positivo,1.0
HYG,positivo,1.0
INTC,positivo,1.0
IWM,positivo,1.0
IYR,positivo,2.0
JPM,positivo,1.9999999999999998
NVDA,positivo,1.0
QQQ,positivo,1.0
SAP,positivo,3.0000000000000004
SPY,positivo,3.0
TLT,positivo,1.0
XLE,positivo,1.0
XLK,positivo,1.0
