antecedent_symbol,interval_label,count
AAPL,cruce,1.0
AMZN,cruce,1.0
DIS,cruce,1.0
IYR,cruce,1.0
SPY,cruce,2.0
AMZN,negativo,2.0
BA,negativo,1.0
DIS,negativo,1.0
EEM,negativo,1.0
EFX,negativo,1.0
INTC,negativo,3.0
IYR,negativo,4.0
NVDA,negativo,1.0
SAP,negativo,1.0
SPY,negativo,3.0
UUP,negativo,3.0
WMT,negativo,1.0
XLV,negativo,1.0
XOM,negativo,2.0
AAPL,positivo,1.0
AMZN,positivo,4.0
BA,positivo,2.0
CLX,positivo,1.0
CPB,positivo,1.0
DIS,positivo,1.0
EEM,positivo,6.0
EFX,positivo,1.0
EWP,positivo,1.0
GLD,positivo,1.0
GOOGL,positivo,3.0
HYG,positivo,1.0
IWM,positivo,3.0
IYR,positivo,9.0
JPM,positivo,2.0
KO,positivo,2.0
MU,positivo,2.0
NVDA,positivo,3.0
QQQ,positivo,1.0
SAP,positivo,1.0
SPY,positivo,6.0
TLT,positivo,1.0
UUP,positivo,2.0
XLK,positivo,4.0
