antecedent_symbol,interval_label,count
BA,cruce,1.0
EFX,cruce,1.0
IYR,cruce,2.0
MSFT,cruce,1.0
NVDA,cruce,1.0
SAP,cruce,1.0
XLE,cruce,1.0
XLV,cruce,1.0
AAPL,negativo,1.0
AMZN,negativo,2.0
BA,negativo,2.0
DIS,negativo,1.0
EEM,negativo,1.0
EFX,negativo,1.0
EWP,negativo,1.0
IYR,negativo,6.0
JPM,negativo,1.0
KO,negativo,1.0
MSFT,negativo,1.0
MU,negativo,2.0
NVDA,negativo,2.0
SAP,negativo,3.0
SHY,negativo,1.0
SPY,negativo,1.0
TLT,negativo,1.0
XLV,negativo,1.0
XOM,negativo,1.0
AMZN,positivo,1.0
BA,positivo,6.0
CLX,positivo,1.0
DIA,positivo,1.0
DIS,positivo,2.0
EEM,positivo,2.0
EFX,positivo,3.0
EWP,positivo,1.0
GOOGL,positivo,2.0
HYG,positivo,1.0
INTC,positivo,1.0
IYR,positivo,8.0
JPM,positivo,2.0
KO,positivo,1.0
MSFT,positivo,1.0
MU,positivo,4.0
NVDA,positivo,1.0
SAP,positivo,1.0
SPY,positivo,2.0
TLT,positivo,1.0
UUP,positivo,1.0
XLE,positivo,4.0
XLF,positivo,1.0
